Job Title,Company Name,Location,Posted Time,Job Link
Data Scientist,Microsoft,"Bengaluru, Karnataka, India",2024-06-11 15:39:13.131341,https://in.linkedin.com/jobs/view/data-scientist-at-microsoft-3918529930?position=6&pageNum=0&refId=MfvVpkHVwXkhytwrz8wJfg%3D%3D&trackingId=ePSwAI7Pa93MoEIt8UsqVA%3D%3D&trk=public_jobs_jserp-result_search-card
"AI Data Scientist, Trust and Safety",Google,"Bengaluru, Karnataka, India",2024-06-11 14:39:13.192494,https://in.linkedin.com/jobs/view/ai-data-scientist-trust-and-safety-at-google-3916963569?position=7&pageNum=0&refId=MfvVpkHVwXkhytwrz8wJfg%3D%3D&trackingId=2QVkdVfdiuEz8G1LJZEA8Q%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,Lenovo,"Bangalore Urban, Karnataka, India",2024-06-11 15:39:13.253659,https://in.linkedin.com/jobs/view/data-scientist-at-lenovo-3931247608?position=8&pageNum=0&refId=MfvVpkHVwXkhytwrz8wJfg%3D%3D&trackingId=eLksMfMTRtcK8whPV%2FxmMg%3D%3D&trk=public_jobs_jserp-result_search-card
"Business Data Scientist, Finance",Google,"Bengaluru, Karnataka, India",2024-06-11 14:39:13.309505,https://in.linkedin.com/jobs/view/business-data-scientist-finance-at-google-3799379467?position=9&pageNum=0&refId=MfvVpkHVwXkhytwrz8wJfg%3D%3D&trackingId=vqz0ycss3i4JeY9%2BO1LEeg%3D%3D&trk=public_jobs_jserp-result_search-card
"AI Data Scientist, AI Safety Protection",Google,"Bengaluru, Karnataka, India",2024-06-11 14:39:13.379419,https://in.linkedin.com/jobs/view/ai-data-scientist-ai-safety-protection-at-google-3916967127?position=10&pageNum=0&refId=MfvVpkHVwXkhytwrz8wJfg%3D%3D&trackingId=Xp9%2BllBZrrNRk%2FQAhPkBgg%3D%3D&trk=public_jobs_jserp-result_search-card
Junior Data Scientist,AB InBev GCC India,"Bengaluru, Karnataka, India",2024-06-11 11:39:13.442962,https://in.linkedin.com/jobs/view/junior-data-scientist-at-ab-inbev-gcc-india-3940345408?position=11&pageNum=0&refId=MfvVpkHVwXkhytwrz8wJfg%3D%3D&trackingId=xTXGVMiq71JArtrIn24F%2FQ%3D%3D&trk=public_jobs_jserp-result_search-card
Machine Learning Engineer,IQVIA,"Bengaluru, Karnataka, India",2024-06-11 12:39:13.503016,https://in.linkedin.com/jobs/view/machine-learning-engineer-at-iqvia-3920676329?position=12&pageNum=0&refId=MfvVpkHVwXkhytwrz8wJfg%3D%3D&trackingId=RbxLIXnGP0ZJ6VqWFlnGPA%3D%3D&trk=public_jobs_jserp-result_search-card
Decision Scientist,Tesco Bengaluru,"Bengaluru, Karnataka, India",2024-06-11 12:39:13.563643,https://in.linkedin.com/jobs/view/decision-scientist-at-tesco-bengaluru-3944561383?position=13&pageNum=0&refId=MfvVpkHVwXkhytwrz8wJfg%3D%3D&trackingId=C3zpRRqFSzvo65jxXmKceA%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,redBus,"Bengaluru, Karnataka, India",2024-06-11 14:39:13.626023,https://in.linkedin.com/jobs/view/data-scientist-at-redbus-3926600927?position=14&pageNum=0&refId=MfvVpkHVwXkhytwrz8wJfg%3D%3D&trackingId=hexWVIiu33DdOBGKzuxD3Q%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,Lenovo,"Bangalore Urban, Karnataka, India",2024-06-11 15:39:13.687910,https://in.linkedin.com/jobs/view/data-scientist-at-lenovo-3931245830?position=15&pageNum=0&refId=MfvVpkHVwXkhytwrz8wJfg%3D%3D&trackingId=E%2FBmkjwkqU2oqIYX57RLhA%3D%3D&trk=public_jobs_jserp-result_search-card
